'Time','ECG1','ECG2'
'[10:00:04.984]',-0.215,-0.025
'[10:00:04.988]',-0.205,-0.035
'[10:00:04.992]',-0.195,-0.050
'[10:00:04.996]',-0.200,-0.060
'[10:00:05.000]',-0.215,-0.090
'[10:00:05.004]',-0.260,-0.100
'[10:00:05.008]',-0.285,-0.080
'[10:00:05.012]',-0.330,-0.080
'[10:00:05.016]',-0.340,-0.065
'[10:00:05.020]',-0.350,-0.075
'[10:00:05.024]',-0.360,-0.100
'[10:00:05.028]',-0.350,-0.070
'[10:00:05.032]',-0.355,-0.060
'[10:00:05.036]',-0.365,-0.075
'[10:00:05.040]',-0.360,-0.090
'[10:00:05.044]',-0.340,-0.075
'[10:00:05.048]',-0.360,-0.065
'[10:00:05.052]',-0.350,-0.075
'[10:00:05.056]',-0.335,-0.080
'[10:00:05.060]',-0.345,-0.065
'[10:00:05.064]',-0.355,-0.065
'[10:00:05.068]',-0.335,-0.085
'[10:00:05.072]',-0.330,-0.095
'[10:00:05.076]',-0.345,-0.110
'[10:00:05.080]',-0.365,-0.095
'[10:00:05.084]',-0.380,-0.100
'[10:00:05.088]',-0.365,-0.065
'[10:00:05.092]',-0.360,-0.075
'[10:00:05.096]',-0.340,-0.065
'[10:00:05.100]',-0.320,-0.080
'[10:00:05.104]',-0.310,-0.100
'[10:00:05.108]',-0.295,-0.100
'[10:00:05.112]',-0.265,-0.085
'[10:00:05.116]',-0.220,-0.080
'[10:00:05.120]',-0.120,-0.085
'[10:00:05.124]',0.020,-0.085
'[10:00:05.128]',0.230,-0.080
'[10:00:05.132]',0.480,-0.090
'[10:00:05.136]',0.705,-0.115
'[10:00:05.140]',0.905,-0.110
'[10:00:05.144]',1.020,-0.080
'[10:00:05.148]',1.075,-0.080
'[10:00:05.152]',1.085,-0.310
'[10:00:05.156]',1.060,-0.780
'[10:00:05.160]',1.005,-1.420
'[10:00:05.164]',0.925,-2.060
'[10:00:05.168]',0.845,-2.580
'[10:00:05.172]',0.780,-2.840
'[10:00:05.176]',0.750,-2.970
'[10:00:05.180]',0.755,-3.030
'[10:00:05.184]',0.780,-3.045
'[10:00:05.188]',0.800,-3.060
'[10:00:05.192]',0.740,-3.015
'[10:00:05.196]',0.605,-2.860
'[10:00:05.200]',0.470,-2.600
'[10:00:05.204]',0.355,-2.280
'[10:00:05.208]',0.345,-2.030
'[10:00:05.212]',0.455,-1.830
'[10:00:05.216]',0.580,-1.710
'[10:00:05.220]',0.635,-1.575
'[10:00:05.224]',0.555,-1.455
'[10:00:05.228]',0.325,-1.280
'[10:00:05.232]',0.075,-1.075
'[10:00:05.236]',-0.120,-0.825
'[10:00:05.240]',-0.190,-0.630
'[10:00:05.244]',-0.215,-0.455
'[10:00:05.248]',-0.210,-0.375
'[10:00:05.252]',-0.250,-0.275
'[10:00:05.256]',-0.280,-0.165
'[10:00:05.260]',-0.325,0.000
'[10:00:05.264]',-0.355,0.095
'[10:00:05.268]',-0.350,0.200
'[10:00:05.272]',-0.355,0.255
'[10:00:05.276]',-0.365,0.290
'[10:00:05.280]',-0.345,0.270
'[10:00:05.284]',-0.325,0.275
'[10:00:05.288]',-0.330,0.290
'[10:00:05.292]',-0.320,0.300
'[10:00:05.296]',-0.310,0.295
'[10:00:05.300]',-0.345,0.295
'[10:00:05.304]',-0.360,0.320
'[10:00:05.308]',-0.365,0.315
'[10:00:05.312]',-0.355,0.325
'[10:00:05.316]',-0.335,0.330
'[10:00:05.320]',-0.350,0.350
'[10:00:05.324]',-0.330,0.335
'[10:00:05.328]',-0.355,0.350
'[10:00:05.332]',-0.355,0.375
'[10:00:05.336]',-0.350,0.375
'[10:00:05.340]',-0.370,0.395
'[10:00:05.344]',-0.390,0.410
'[10:00:05.348]',-0.400,0.410
'[10:00:05.352]',-0.400,0.440
'[10:00:05.356]',-0.385,0.430
'[10:00:05.360]',-0.380,0.440
'[10:00:05.364]',-0.395,0.435
'[10:00:05.368]',-0.395,0.465
'[10:00:05.372]',-0.385,0.475
'[10:00:05.376]',-0.400,0.500
'[10:00:05.380]',-0.420,0.520
'[10:00:05.384]',-0.420,0.530
'[10:00:05.388]',-0.430,0.540
'[10:00:05.392]',-0.430,0.565
'[10:00:05.396]',-0.440,0.590
'[10:00:05.400]',-0.460,0.600
'[10:00:05.404]',-0.455,0.625
'[10:00:05.408]',-0.480,0.675
'[10:00:05.412]',-0.495,0.670
'[10:00:05.416]',-0.475,0.715
'[10:00:05.420]',-0.475,0.730
'[10:00:05.424]',-0.450,0.745
'[10:00:05.428]',-0.435,0.750
'[10:00:05.432]',-0.450,0.790
'[10:00:05.436]',-0.470,0.805
'[10:00:05.440]',-0.500,0.820
'[10:00:05.444]',-0.505,0.855
'[10:00:05.448]',-0.495,0.865
'[10:00:05.452]',-0.505,0.890
'[10:00:05.456]',-0.500,0.915
'[10:00:05.460]',-0.480,0.915
'[10:00:05.464]',-0.455,0.935
'[10:00:05.468]',-0.460,0.925
'[10:00:05.472]',-0.465,0.935
'[10:00:05.476]',-0.465,0.935
'[10:00:05.480]',-0.455,0.955
'[10:00:05.484]',-0.420,0.935
'[10:00:05.488]',-0.420,0.955
'[10:00:05.492]',-0.425,0.960
'[10:00:05.496]',-0.425,0.940
'[10:00:05.500]',-0.405,0.935
'[10:00:05.504]',-0.395,0.920
'[10:00:05.508]',-0.375,0.870
'[10:00:05.512]',-0.345,0.860
'[10:00:05.516]',-0.345,0.830
'[10:00:05.520]',-0.300,0.800
'[10:00:05.524]',-0.275,0.745
'[10:00:05.528]',-0.265,0.705
'[10:00:05.532]',-0.245,0.650
'[10:00:05.536]',-0.200,0.595
'[10:00:05.540]',-0.215,0.545
'[10:00:05.544]',-0.195,0.500
'[10:00:05.548]',-0.185,0.430
'[10:00:05.552]',-0.200,0.410
'[10:00:05.556]',-0.185,0.370
'[10:00:05.560]',-0.210,0.320
'[10:00:05.564]',-0.210,0.270
'[10:00:05.568]',-0.185,0.230
'[10:00:05.572]',-0.180,0.190
'[10:00:05.576]',-0.180,0.150
'[10:00:05.580]',-0.185,0.120
'[10:00:05.584]',-0.195,0.105
'[10:00:05.588]',-0.185,0.060
'[10:00:05.592]',-0.200,0.060
'[10:00:05.596]',-0.195,0.055
'[10:00:05.600]',-0.220,0.040
'[10:00:05.604]',-0.205,0.040
'[10:00:05.608]',-0.220,0.030
'[10:00:05.612]',-0.225,0.025
'[10:00:05.616]',-0.210,0.025
'[10:00:05.620]',-0.230,0.015
'[10:00:05.624]',-0.250,0.015
'[10:00:05.628]',-0.255,0.020
'[10:00:05.632]',-0.250,0.030
'[10:00:05.636]',-0.245,0.035
'[10:00:05.640]',-0.245,0.045
'[10:00:05.644]',-0.250,0.050
'[10:00:05.648]',-0.260,0.040
'[10:00:05.652]',-0.255,0.015
'[10:00:05.656]',-0.255,0.025
'[10:00:05.660]',-0.280,0.050
'[10:00:05.664]',-0.290,0.035
'[10:00:05.668]',-0.280,0.035
'[10:00:05.672]',-0.290,0.070
'[10:00:05.676]',-0.310,0.045
'[10:00:05.680]',-0.305,0.035
'[10:00:05.684]',-0.290,0.045
'[10:00:05.688]',-0.280,0.050
'[10:00:05.692]',-0.260,0.030
'[10:00:05.696]',-0.255,0.055
'[10:00:05.700]',-0.265,0.015
'[10:00:05.704]',-0.275,0.040
'[10:00:05.708]',-0.300,0.035
'[10:00:05.712]',-0.290,0.045
'[10:00:05.716]',-0.315,0.030
'[10:00:05.720]',-0.295,0.020
'[10:00:05.724]',-0.290,0.015
'[10:00:05.728]',-0.310,0.005
'[10:00:05.732]',-0.290,0.000
'[10:00:05.736]',-0.295,0.000
'[10:00:05.740]',-0.295,-0.005
'[10:00:05.744]',-0.290,-0.010
'[10:00:05.748]',-0.300,-0.015
'[10:00:05.752]',-0.270,-0.015
'[10:00:05.756]',-0.245,-0.010
'[10:00:05.760]',-0.220,-0.025
'[10:00:05.764]',-0.215,-0.030
'[10:00:05.768]',-0.185,-0.030
'[10:00:05.772]',-0.190,-0.015
'[10:00:05.776]',-0.180,-0.050
'[10:00:05.780]',-0.160,-0.025
'[10:00:05.784]',-0.125,-0.020
'[10:00:05.788]',-0.095,0.000
'[10:00:05.792]',-0.110,-0.010
'[10:00:05.796]',-0.120,0.000
'[10:00:05.800]',-0.130,-0.005
'[10:00:05.804]',-0.090,0.015
'[10:00:05.808]',-0.080,0.030
'[10:00:05.812]',-0.080,0.055
'[10:00:05.816]',-0.055,0.065
'[10:00:05.820]',-0.070,0.055
'[10:00:05.824]',-0.100,0.075
'[10:00:05.828]',-0.105,0.040
'[10:00:05.832]',-0.110,0.035
'[10:00:05.836]',-0.125,0.005
'[10:00:05.840]',-0.140,-0.015
'[10:00:05.844]',-0.170,-0.045
'[10:00:05.848]',-0.180,-0.045
'[10:00:05.852]',-0.205,-0.055
'[10:00:05.856]',-0.195,-0.075
'[10:00:05.860]',-0.220,-0.070
'[10:00:05.864]',-0.240,-0.080
'[10:00:05.868]',-0.255,-0.095
'[10:00:05.872]',-0.250,-0.110
'[10:00:05.876]',-0.280,-0.105
'[10:00:05.880]',-0.305,-0.100
'[10:00:05.884]',-0.320,-0.090
'[10:00:05.888]',-0.320,-0.080
'[10:00:05.892]',-0.335,-0.080
'[10:00:05.896]',-0.360,-0.080
'[10:00:05.900]',-0.380,-0.100
'[10:00:05.904]',-0.385,-0.095
'[10:00:05.908]',-0.360,-0.095
'[10:00:05.912]',-0.345,-0.105
'[10:00:05.916]',-0.375,-0.110
'[10:00:05.920]',-0.405,-0.120
'[10:00:05.924]',-0.390,-0.085
'[10:00:05.928]',-0.385,-0.085
'[10:00:05.932]',-0.395,-0.080
'[10:00:05.936]',-0.385,-0.095
'[10:00:05.940]',-0.365,-0.080
'[10:00:05.944]',-0.330,-0.095
'[10:00:05.948]',-0.360,-0.085
'[10:00:05.952]',-0.375,-0.095
'[10:00:05.956]',-0.355,-0.085
'[10:00:05.960]',-0.375,-0.080
'[10:00:05.964]',-0.390,-0.100
'[10:00:05.968]',-0.375,-0.085
'[10:00:05.972]',-0.350,-0.095
'[10:00:05.976]',-0.285,-0.100
'[10:00:05.980]',-0.200,-0.090
'[10:00:05.984]',-0.110,-0.105
'[10:00:05.988]',0.050,-0.120
'[10:00:05.992]',0.270,-0.115
'[10:00:05.996]',0.535,-0.140
'[10:00:06.000]',0.770,-0.120
'[10:00:06.004]',0.920,-0.110
'[10:00:06.008]',1.020,-0.085
'[10:00:06.012]',1.055,-0.130
'[10:00:06.016]',1.030,-0.495
'[10:00:06.020]',0.945,-1.100
'[10:00:06.024]',0.830,-1.740
'[10:00:06.028]',0.745,-2.335
'[10:00:06.032]',0.695,-2.680
'[10:00:06.036]',0.675,-2.860
'[10:00:06.040]',0.690,-2.955
'[10:00:06.044]',0.730,-2.995
'[10:00:06.048]',0.725,-3.025
'[10:00:06.052]',0.655,-3.005
'[10:00:06.056]',0.560,-2.865
'[10:00:06.060]',0.400,-2.670
'[10:00:06.064]',0.265,-2.345
'[10:00:06.068]',0.190,-2.085
'[10:00:06.072]',0.255,-1.860
'[10:00:06.076]',0.360,-1.715
'[10:00:06.080]',0.450,-1.580
'[10:00:06.084]',0.395,-1.470
'[10:00:06.088]',0.225,-1.300
'[10:00:06.092]',0.010,-1.085
'[10:00:06.096]',-0.175,-0.880
'[10:00:06.100]',-0.285,-0.685
'[10:00:06.104]',-0.315,-0.530
'[10:00:06.108]',-0.305,-0.415
'[10:00:06.112]',-0.300,-0.320
'[10:00:06.116]',-0.345,-0.210
'[10:00:06.120]',-0.390,-0.080
'[10:00:06.124]',-0.420,0.045
'[10:00:06.128]',-0.425,0.135
'[10:00:06.132]',-0.450,0.195
'[10:00:06.136]',-0.435,0.225
'[10:00:06.140]',-0.435,0.225
'[10:00:06.144]',-0.445,0.235
'[10:00:06.148]',-0.435,0.255
'[10:00:06.152]',-0.415,0.250
'[10:00:06.156]',-0.400,0.270
'[10:00:06.160]',-0.410,0.285
'[10:00:06.164]',-0.375,0.265
'[10:00:06.168]',-0.395,0.285
'[10:00:06.172]',-0.415,0.290
'[10:00:06.176]',-0.435,0.305
'[10:00:06.180]',-0.440,0.310
'[10:00:06.184]',-0.445,0.325
'[10:00:06.188]',-0.405,0.305
'[10:00:06.192]',-0.410,0.340
'[10:00:06.196]',-0.430,0.360
'[10:00:06.200]',-0.435,0.370
'[10:00:06.204]',-0.405,0.360
'[10:00:06.208]',-0.405,0.365
'[10:00:06.212]',-0.440,0.380
'[10:00:06.216]',-0.435,0.400
'[10:00:06.220]',-0.435,0.425
'[10:00:06.224]',-0.445,0.455
'[10:00:06.228]',-0.420,0.455
'[10:00:06.232]',-0.425,0.475
'[10:00:06.236]',-0.435,0.460
'[10:00:06.240]',-0.460,0.490
'[10:00:06.244]',-0.480,0.485
'[10:00:06.248]',-0.485,0.505
'[10:00:06.252]',-0.485,0.520
'[10:00:06.256]',-0.480,0.565
'[10:00:06.260]',-0.485,0.585
'[10:00:06.264]',-0.470,0.610
'[10:00:06.268]',-0.460,0.620
'[10:00:06.272]',-0.480,0.645
'[10:00:06.276]',-0.500,0.665
'[10:00:06.280]',-0.495,0.675
'[10:00:06.284]',-0.510,0.710
'[10:00:06.288]',-0.520,0.725
'[10:00:06.292]',-0.560,0.775
'[10:00:06.296]',-0.550,0.790
'[10:00:06.300]',-0.545,0.795
'[10:00:06.304]',-0.540,0.820
'[10:00:06.308]',-0.520,0.860
'[10:00:06.312]',-0.495,0.870
'[10:00:06.316]',-0.505,0.870
'[10:00:06.320]',-0.495,0.885
'[10:00:06.324]',-0.500,0.910
'[10:00:06.328]',-0.500,0.915
'[10:00:06.332]',-0.500,0.945
'[10:00:06.336]',-0.485,0.935
'[10:00:06.340]',-0.480,0.955
'[10:00:06.344]',-0.470,0.925
'[10:00:06.348]',-0.470,0.935
'[10:00:06.352]',-0.460,0.910
'[10:00:06.356]',-0.490,0.940
'[10:00:06.360]',-0.480,0.925
'[10:00:06.364]',-0.455,0.895
'[10:00:06.368]',-0.430,0.900
'[10:00:06.372]',-0.410,0.865
'[10:00:06.376]',-0.365,0.835
'[10:00:06.380]',-0.340,0.790
'[10:00:06.384]',-0.315,0.765
'[10:00:06.388]',-0.315,0.725
'[10:00:06.392]',-0.285,0.680
'[10:00:06.396]',-0.290,0.635
'[10:00:06.400]',-0.280,0.600
'[10:00:06.404]',-0.265,0.545
'[10:00:06.408]',-0.280,0.495
'[10:00:06.412]',-0.300,0.440
'[10:00:06.416]',-0.285,0.400
'[10:00:06.420]',-0.265,0.340
'[10:00:06.424]',-0.270,0.295
'[10:00:06.428]',-0.275,0.250
'[10:00:06.432]',-0.265,0.215
'[10:00:06.436]',-0.260,0.195
'[10:00:06.440]',-0.280,0.155
'[10:00:06.444]',-0.245,0.120
'[10:00:06.448]',-0.240,0.110
'[10:00:06.452]',-0.245,0.075
'[10:00:06.456]',-0.275,0.065
'[10:00:06.460]',-0.280,0.045
'[10:00:06.464]',-0.280,0.040
'[10:00:06.468]',-0.300,0.055
'[10:00:06.472]',-0.315,0.025
'[10:00:06.476]',-0.330,0.035
'[10:00:06.480]',-0.335,0.020
'[10:00:06.484]',-0.315,0.035
'[10:00:06.488]',-0.300,0.045
'[10:00:06.492]',-0.285,0.040
'[10:00:06.496]',-0.295,0.030
'[10:00:06.500]',-0.320,0.010
'[10:00:06.504]',-0.330,0.030
'[10:00:06.508]',-0.365,0.025
'[10:00:06.512]',-0.340,0.045
'[10:00:06.516]',-0.350,0.030
'[10:00:06.520]',-0.330,0.045
'[10:00:06.524]',-0.330,0.035
'[10:00:06.528]',-0.340,0.045
'[10:00:06.532]',-0.335,0.045
'[10:00:06.536]',-0.355,0.015
'[10:00:06.540]',-0.350,0.035
'[10:00:06.544]',-0.375,0.050
'[10:00:06.548]',-0.355,0.055
'[10:00:06.552]',-0.335,0.035
'[10:00:06.556]',-0.330,0.030
'[10:00:06.560]',-0.315,0.030
'[10:00:06.564]',-0.320,0.025
'[10:00:06.568]',-0.305,0.015
'[10:00:06.572]',-0.330,0.035
'[10:00:06.576]',-0.350,0.000
'[10:00:06.580]',-0.355,0.025
'[10:00:06.584]',-0.365,0.035
'[10:00:06.588]',-0.380,0.005
'[10:00:06.592]',-0.350,0.000
'[10:00:06.596]',-0.320,-0.020
'[10:00:06.600]',-0.315,-0.015
'[10:00:06.604]',-0.315,0.000
'[10:00:06.608]',-0.310,-0.015
'[10:00:06.612]',-0.320,-0.025
'[10:00:06.616]',-0.335,-0.020
'[10:00:06.620]',-0.320,-0.035
'[10:00:06.624]',-0.270,-0.025
'[10:00:06.628]',-0.260,-0.010
'[10:00:06.632]',-0.230,-0.035
'[10:00:06.636]',-0.195,-0.015
'[10:00:06.640]',-0.185,-0.015
'[10:00:06.644]',-0.170,-0.020
'[10:00:06.648]',-0.180,0.000
'[10:00:06.652]',-0.180,0.020
'[10:00:06.656]',-0.165,0.020
'[10:00:06.660]',-0.140,0.030
'[10:00:06.664]',-0.120,0.030
'[10:00:06.668]',-0.090,0.045
'[10:00:06.672]',-0.085,0.060
'[10:00:06.676]',-0.105,0.045
'[10:00:06.680]',-0.120,0.045
'[10:00:06.684]',-0.140,0.040
'[10:00:06.688]',-0.195,0.025
'[10:00:06.692]',-0.210,0.015
'[10:00:06.696]',-0.235,-0.035
'[10:00:06.700]',-0.240,-0.035
'[10:00:06.704]',-0.230,-0.065
'[10:00:06.708]',-0.235,-0.070
'[10:00:06.712]',-0.215,-0.070
'[10:00:06.716]',-0.210,-0.105
'[10:00:06.720]',-0.240,-0.100
'[10:00:06.724]',-0.295,-0.125
'[10:00:06.728]',-0.315,-0.115
'[10:00:06.732]',-0.325,-0.115
'[10:00:06.736]',-0.360,-0.090
'[10:00:06.740]',-0.375,-0.110
'[10:00:06.744]',-0.380,-0.110
'[10:00:06.748]',-0.395,-0.115
'[10:00:06.752]',-0.400,-0.095
'[10:00:06.756]',-0.420,-0.085
'[10:00:06.760]',-0.415,-0.100
'[10:00:06.764]',-0.400,-0.110
'[10:00:06.768]',-0.420,-0.085
'[10:00:06.772]',-0.410,-0.095
'[10:00:06.776]',-0.390,-0.105
'[10:00:06.780]',-0.360,-0.125
'[10:00:06.784]',-0.350,-0.110
'[10:00:06.788]',-0.360,-0.095
'[10:00:06.792]',-0.375,-0.115
'[10:00:06.796]',-0.400,-0.130
'[10:00:06.800]',-0.410,-0.120
'[10:00:06.804]',-0.410,-0.110
'[10:00:06.808]',-0.380,-0.125
'[10:00:06.812]',-0.400,-0.100
'[10:00:06.816]',-0.385,-0.120
'[10:00:06.820]',-0.350,-0.115
'[10:00:06.824]',-0.355,-0.105
'[10:00:06.828]',-0.325,-0.095
'[10:00:06.832]',-0.315,-0.125
'[10:00:06.836]',-0.280,-0.085
'[10:00:06.840]',-0.215,-0.100
'[10:00:06.844]',-0.115,-0.110
'[10:00:06.848]',0.030,-0.110
'[10:00:06.852]',0.255,-0.140
'[10:00:06.856]',0.465,-0.145
'[10:00:06.860]',0.680,-0.170
'[10:00:06.864]',0.860,-0.170
'[10:00:06.868]',0.950,-0.125
'[10:00:06.872]',0.980,-0.195
'[10:00:06.876]',0.965,-0.450
'[10:00:06.880]',0.900,-0.975
'[10:00:06.884]',0.815,-1.615
'[10:00:06.888]',0.730,-2.230
'[10:00:06.892]',0.690,-2.625
'[10:00:06.896]',0.665,-2.850
'[10:00:06.900]',0.640,-2.980
'[10:00:06.904]',0.655,-3.020
'[10:00:06.908]',0.655,-3.060
'[10:00:06.912]',0.590,-3.020
'[10:00:06.916]',0.475,-2.905
'[10:00:06.920]',0.350,-2.670
'[10:00:06.924]',0.220,-2.400
'[10:00:06.928]',0.180,-2.115
'[10:00:06.932]',0.230,-1.865
'[10:00:06.936]',0.330,-1.700
'[10:00:06.940]',0.370,-1.585
'[10:00:06.944]',0.305,-1.475
'[10:00:06.948]',0.125,-1.325
'[10:00:06.952]',-0.090,-1.115
'[10:00:06.956]',-0.240,-0.925
'[10:00:06.960]',-0.305,-0.720
'[10:00:06.964]',-0.320,-0.595
'[10:00:06.968]',-0.295,-0.465
'[10:00:06.972]',-0.320,-0.365
'[10:00:06.976]',-0.350,-0.230
'[10:00:06.980]',-0.415,-0.120
'[10:00:06.984]',-0.435,0.020
'[10:00:06.988]',-0.430,0.115
'[10:00:06.992]',-0.445,0.180
'[10:00:06.996]',-0.445,0.195
'[10:00:07.000]',-0.465,0.200
'[10:00:07.004]',-0.450,0.185
'[10:00:07.008]',-0.455,0.185
'[10:00:07.012]',-0.435,0.210
'[10:00:07.016]',-0.445,0.210
'[10:00:07.020]',-0.440,0.245
'[10:00:07.024]',-0.450,0.250
'[10:00:07.028]',-0.455,0.275
'[10:00:07.032]',-0.440,0.250
'[10:00:07.036]',-0.410,0.270
'[10:00:07.040]',-0.415,0.270
'[10:00:07.044]',-0.425,0.260
'[10:00:07.048]',-0.410,0.270
'[10:00:07.052]',-0.450,0.270
'[10:00:07.056]',-0.480,0.290
'[10:00:07.060]',-0.470,0.305
'[10:00:07.064]',-0.475,0.355
'[10:00:07.068]',-0.465,0.350
'[10:00:07.072]',-0.470,0.350
'[10:00:07.076]',-0.455,0.365
'[10:00:07.080]',-0.440,0.375
'[10:00:07.084]',-0.475,0.400
'[10:00:07.088]',-0.510,0.390
'[10:00:07.092]',-0.515,0.415
'[10:00:07.096]',-0.535,0.430
'[10:00:07.100]',-0.530,0.425
'[10:00:07.104]',-0.525,0.450
'[10:00:07.108]',-0.535,0.470
'[10:00:07.112]',-0.535,0.485
'[10:00:07.116]',-0.545,0.525
'[10:00:07.120]',-0.545,0.540
'[10:00:07.124]',-0.525,0.545
'[10:00:07.128]',-0.565,0.565
'[10:00:07.132]',-0.575,0.585
'[10:00:07.136]',-0.570,0.630
'[10:00:07.140]',-0.555,0.635
'[10:00:07.144]',-0.550,0.680
'[10:00:07.148]',-0.560,0.700
'[10:00:07.152]',-0.585,0.715
'[10:00:07.156]',-0.585,0.730
'[10:00:07.160]',-0.585,0.760
'[10:00:07.164]',-0.580,0.790
'[10:00:07.168]',-0.590,0.815
'[10:00:07.172]',-0.585,0.830
'[10:00:07.176]',-0.570,0.835
'[10:00:07.180]',-0.555,0.865
'[10:00:07.184]',-0.525,0.870
'[10:00:07.188]',-0.545,0.910
'[10:00:07.192]',-0.550,0.895
'[10:00:07.196]',-0.550,0.890
'[10:00:07.200]',-0.550,0.895
'[10:00:07.204]',-0.530,0.900
'[10:00:07.208]',-0.525,0.915
'[10:00:07.212]',-0.540,0.915
'[10:00:07.216]',-0.520,0.895
'[10:00:07.220]',-0.490,0.915
'[10:00:07.224]',-0.490,0.910
'[10:00:07.228]',-0.460,0.895
'[10:00:07.232]',-0.445,0.850
'[10:00:07.236]',-0.435,0.840
'[10:00:07.240]',-0.405,0.830
'[10:00:07.244]',-0.390,0.785
'[10:00:07.248]',-0.370,0.735
'[10:00:07.252]',-0.360,0.690
'[10:00:07.256]',-0.355,0.660
'[10:00:07.260]',-0.335,0.600
'[10:00:07.264]',-0.320,0.560
'[10:00:07.268]',-0.320,0.510
'[10:00:07.272]',-0.305,0.460
'[10:00:07.276]',-0.305,0.425
'[10:00:07.280]',-0.320,0.370
'[10:00:07.284]',-0.295,0.305
'[10:00:07.288]',-0.280,0.250
'[10:00:07.292]',-0.280,0.225
'[10:00:07.296]',-0.265,0.185
'[10:00:07.300]',-0.285,0.170
'[10:00:07.304]',-0.280,0.130
'[10:00:07.308]',-0.300,0.100
'[10:00:07.312]',-0.295,0.085
'[10:00:07.316]',-0.305,0.075
'[10:00:07.320]',-0.295,0.085
'[10:00:07.324]',-0.320,0.060
'[10:00:07.328]',-0.295,0.040
'[10:00:07.332]',-0.295,0.030
'[10:00:07.336]',-0.305,0.015
'[10:00:07.340]',-0.315,0.015
'[10:00:07.344]',-0.335,0.030
'[10:00:07.348]',-0.375,0.020
'[10:00:07.352]',-0.345,0.035
'[10:00:07.356]',-0.350,0.040
'[10:00:07.360]',-0.345,0.025
'[10:00:07.364]',-0.350,0.035
'[10:00:07.368]',-0.365,0.030
'[10:00:07.372]',-0.355,0.070
'[10:00:07.376]',-0.375,0.055
'[10:00:07.380]',-0.365,0.060
'[10:00:07.384]',-0.355,0.070
'[10:00:07.388]',-0.375,0.070
'[10:00:07.392]',-0.375,0.075
'[10:00:07.396]',-0.370,0.065
'[10:00:07.400]',-0.355,0.065
'[10:00:07.404]',-0.355,0.045
'[10:00:07.408]',-0.355,0.055
'[10:00:07.412]',-0.365,0.065
'[10:00:07.416]',-0.395,0.060
'[10:00:07.420]',-0.375,0.055
'[10:00:07.424]',-0.370,0.055
'[10:00:07.428]',-0.360,0.060
'[10:00:07.432]',-0.350,0.055
'[10:00:07.436]',-0.355,0.050
'[10:00:07.440]',-0.370,0.040
'[10:00:07.444]',-0.380,0.025
'[10:00:07.448]',-0.380,0.025
'[10:00:07.452]',-0.370,0.035
'[10:00:07.456]',-0.380,0.020
'[10:00:07.460]',-0.375,0.015
'[10:00:07.464]',-0.340,0.005
'[10:00:07.468]',-0.335,0.020
'[10:00:07.472]',-0.340,0.015
'[10:00:07.476]',-0.345,-0.010
'[10:00:07.480]',-0.330,0.005
'[10:00:07.484]',-0.335,0.000
'[10:00:07.488]',-0.315,0.000
