'Time','ECG1','ECG2'
'[10:00:07.492]',-0.305,0.010
'[10:00:07.496]',-0.290,-0.010
'[10:00:07.500]',-0.285,0.005
'[10:00:07.504]',-0.245,0.015
'[10:00:07.508]',-0.220,0.010
'[10:00:07.512]',-0.220,0.000
'[10:00:07.516]',-0.200,0.015
'[10:00:07.520]',-0.205,0.040
'[10:00:07.524]',-0.185,0.040
'[10:00:07.528]',-0.180,0.045
'[10:00:07.532]',-0.165,0.080
'[10:00:07.536]',-0.170,0.085
'[10:00:07.540]',-0.150,0.090
'[10:00:07.544]',-0.135,0.075
'[10:00:07.548]',-0.135,0.060
'[10:00:07.552]',-0.170,0.055
'[10:00:07.556]',-0.200,0.030
'[10:00:07.560]',-0.240,0.045
'[10:00:07.564]',-0.255,0.000
'[10:00:07.568]',-0.280,0.000
'[10:00:07.572]',-0.275,-0.010
'[10:00:07.576]',-0.280,-0.040
'[10:00:07.580]',-0.265,-0.040
'[10:00:07.584]',-0.295,-0.085
'[10:00:07.588]',-0.305,-0.065
'[10:00:07.592]',-0.310,-0.095
'[10:00:07.596]',-0.315,-0.090
'[10:00:07.600]',-0.340,-0.075
'[10:00:07.604]',-0.380,-0.075
'[10:00:07.608]',-0.425,-0.075
'[10:00:07.612]',-0.435,-0.065
'[10:00:07.616]',-0.425,-0.065
'[10:00:07.620]',-0.410,-0.060
'[10:00:07.624]',-0.410,-0.060
'[10:00:07.628]',-0.415,-0.050
'[10:00:07.632]',-0.420,-0.085
'[10:00:07.636]',-0.425,-0.060
'[10:00:07.640]',-0.445,-0.065
'[10:00:07.644]',-0.430,-0.080
'[10:00:07.648]',-0.410,-0.055
'[10:00:07.652]',-0.400,-0.085
'[10:00:07.656]',-0.415,-0.075
'[10:00:07.660]',-0.415,-0.080
'[10:00:07.664]',-0.435,-0.070
'[10:00:07.668]',-0.445,-0.095
'[10:00:07.672]',-0.445,-0.075
'[10:00:07.676]',-0.425,-0.070
'[10:00:07.680]',-0.425,-0.055
'[10:00:07.684]',-0.420,-0.080
'[10:00:07.688]',-0.400,-0.090
'[10:00:07.692]',-0.405,-0.105
'[10:00:07.696]',-0.375,-0.080
'[10:00:07.700]',-0.355,-0.090
'[10:00:07.704]',-0.320,-0.090
'[10:00:07.708]',-0.250,-0.090
'[10:00:07.712]',-0.135,-0.080
'[10:00:07.716]',0.055,-0.095
'[10:00:07.720]',0.290,-0.085
'[10:00:07.724]',0.500,-0.125
'[10:00:07.728]',0.690,-0.105
'[10:00:07.732]',0.785,-0.110
'[10:00:07.736]',0.860,-0.085
'[10:00:07.740]',0.875,-0.220
'[10:00:07.744]',0.855,-0.650
'[10:00:07.748]',0.780,-1.290
'[10:00:07.752]',0.675,-1.930
'[10:00:07.756]',0.635,-2.530
'[10:00:07.760]',0.600,-2.875
'[10:00:07.764]',0.580,-3.030
'[10:00:07.768]',0.605,-3.130
'[10:00:07.772]',0.655,-3.170
'[10:00:07.776]',0.610,-3.170
'[10:00:07.780]',0.530,-3.125
'[10:00:07.784]',0.415,-2.990
'[10:00:07.788]',0.305,-2.745
'[10:00:07.792]',0.175,-2.445
'[10:00:07.796]',0.155,-2.180
'[10:00:07.800]',0.250,-1.960
'[10:00:07.804]',0.375,-1.805
'[10:00:07.808]',0.435,-1.670
'[10:00:07.812]',0.340,-1.545
'[10:00:07.816]',0.110,-1.370
'[10:00:07.820]',-0.125,-1.135
'[10:00:07.824]',-0.305,-0.915
'[10:00:07.828]',-0.390,-0.675
'[10:00:07.832]',-0.400,-0.520
'[10:00:07.836]',-0.370,-0.420
'[10:00:07.840]',-0.400,-0.300
'[10:00:07.844]',-0.460,-0.190
'[10:00:07.848]',-0.490,-0.055
'[10:00:07.852]',-0.500,0.060
'[10:00:07.856]',-0.540,0.155
'[10:00:07.860]',-0.535,0.210
'[10:00:07.864]',-0.520,0.240
'[10:00:07.868]',-0.495,0.245
'[10:00:07.872]',-0.485,0.255
'[10:00:07.876]',-0.465,0.285
'[10:00:07.880]',-0.485,0.270
'[10:00:07.884]',-0.505,0.260
'[10:00:07.888]',-0.515,0.290
'[10:00:07.892]',-0.530,0.290
'[10:00:07.896]',-0.530,0.315
'[10:00:07.900]',-0.500,0.315
'[10:00:07.904]',-0.520,0.305
'[10:00:07.908]',-0.490,0.335
'[10:00:07.912]',-0.495,0.350
'[10:00:07.916]',-0.495,0.355
'[10:00:07.920]',-0.520,0.350
'[10:00:07.924]',-0.510,0.365
'[10:00:07.928]',-0.515,0.395
'[10:00:07.932]',-0.510,0.390
'[10:00:07.936]',-0.530,0.405
'[10:00:07.940]',-0.535,0.410
'[10:00:07.944]',-0.515,0.430
'[10:00:07.948]',-0.535,0.415
'[10:00:07.952]',-0.530,0.415
'[10:00:07.956]',-0.545,0.445
'[10:00:07.960]',-0.565,0.470
'[10:00:07.964]',-0.575,0.505
'[10:00:07.968]',-0.585,0.510
'[10:00:07.972]',-0.585,0.530
'[10:00:07.976]',-0.560,0.555
'[10:00:07.980]',-0.585,0.570
'[10:00:07.984]',-0.590,0.595
'[10:00:07.988]',-0.590,0.620
'[10:00:07.992]',-0.605,0.605
'[10:00:07.996]',-0.595,0.640
'[10:00:08.000]',-0.595,0.670
'[10:00:08.004]',-0.630,0.690
'[10:00:08.008]',-0.640,0.725
'[10:00:08.012]',-0.625,0.725
'[10:00:08.016]',-0.615,0.775
'[10:00:08.020]',-0.625,0.785
'[10:00:08.024]',-0.640,0.810
'[10:00:08.028]',-0.640,0.845
'[10:00:08.032]',-0.665,0.840
'[10:00:08.036]',-0.650,0.875
'[10:00:08.040]',-0.655,0.885
'[10:00:08.044]',-0.655,0.915
'[10:00:08.048]',-0.655,0.925
'[10:00:08.052]',-0.620,0.950
'[10:00:08.056]',-0.625,0.935
'[10:00:08.060]',-0.600,0.955
'[10:00:08.064]',-0.585,0.975
'[10:00:08.068]',-0.600,0.980
'[10:00:08.072]',-0.585,0.960
'[10:00:08.076]',-0.590,0.985
'[10:00:08.080]',-0.590,0.980
'[10:00:08.084]',-0.615,0.995
'[10:00:08.088]',-0.560,0.960
'[10:00:08.092]',-0.535,0.975
'[10:00:08.096]',-0.540,0.920
'[10:00:08.100]',-0.525,0.910
'[10:00:08.104]',-0.500,0.870
'[10:00:08.108]',-0.490,0.840
'[10:00:08.112]',-0.465,0.820
'[10:00:08.116]',-0.435,0.790
'[10:00:08.120]',-0.420,0.740
'[10:00:08.124]',-0.420,0.685
'[10:00:08.128]',-0.405,0.610
'[10:00:08.132]',-0.380,0.555
'[10:00:08.136]',-0.370,0.500
'[10:00:08.140]',-0.395,0.455
'[10:00:08.144]',-0.395,0.390
'[10:00:08.148]',-0.405,0.355
'[10:00:08.152]',-0.400,0.305
'[10:00:08.156]',-0.375,0.270
'[10:00:08.160]',-0.340,0.235
'[10:00:08.164]',-0.325,0.185
'[10:00:08.168]',-0.325,0.170
'[10:00:08.172]',-0.340,0.130
'[10:00:08.176]',-0.360,0.110
'[10:00:08.180]',-0.370,0.090
'[10:00:08.184]',-0.400,0.075
'[10:00:08.188]',-0.415,0.070
'[10:00:08.192]',-0.400,0.065
'[10:00:08.196]',-0.385,0.050
'[10:00:08.200]',-0.380,0.025
'[10:00:08.204]',-0.385,0.040
'[10:00:08.208]',-0.380,0.025
'[10:00:08.212]',-0.385,0.030
'[10:00:08.216]',-0.385,0.045
'[10:00:08.220]',-0.415,0.050
'[10:00:08.224]',-0.415,0.065
'[10:00:08.228]',-0.435,0.060
'[10:00:08.232]',-0.445,0.075
'[10:00:08.236]',-0.425,0.055
'[10:00:08.240]',-0.425,0.065
'[10:00:08.244]',-0.450,0.075
'[10:00:08.248]',-0.465,0.070
'[10:00:08.252]',-0.445,0.065
'[10:00:08.256]',-0.440,0.085
'[10:00:08.260]',-0.445,0.105
'[10:00:08.264]',-0.445,0.090
'[10:00:08.268]',-0.445,0.085
'[10:00:08.272]',-0.420,0.085
'[10:00:08.276]',-0.410,0.100
'[10:00:08.280]',-0.410,0.105
'[10:00:08.284]',-0.425,0.090
'[10:00:08.288]',-0.435,0.075
'[10:00:08.292]',-0.465,0.110
'[10:00:08.296]',-0.455,0.085
'[10:00:08.300]',-0.455,0.070
'[10:00:08.304]',-0.445,0.090
'[10:00:08.308]',-0.435,0.070
'[10:00:08.312]',-0.440,0.065
'[10:00:08.316]',-0.415,0.030
'[10:00:08.320]',-0.435,0.040
'[10:00:08.324]',-0.435,0.045
'[10:00:08.328]',-0.415,0.050
'[10:00:08.332]',-0.410,0.035
'[10:00:08.336]',-0.390,0.035
'[10:00:08.340]',-0.400,0.020
'[10:00:08.344]',-0.390,0.020
'[10:00:08.348]',-0.405,0.000
'[10:00:08.352]',-0.385,0.000
'[10:00:08.356]',-0.355,0.005
'[10:00:08.360]',-0.345,0.010
'[10:00:08.364]',-0.340,0.005
'[10:00:08.368]',-0.345,0.005
'[10:00:08.372]',-0.315,0.015
'[10:00:08.376]',-0.305,0.030
'[10:00:08.380]',-0.250,0.010
'[10:00:08.384]',-0.235,0.035
'[10:00:08.388]',-0.215,0.060
'[10:00:08.392]',-0.180,0.065
'[10:00:08.396]',-0.195,0.075
'[10:00:08.400]',-0.190,0.090
'[10:00:08.404]',-0.205,0.125
'[10:00:08.408]',-0.240,0.100
'[10:00:08.412]',-0.235,0.080
'[10:00:08.416]',-0.250,0.095
'[10:00:08.420]',-0.285,0.085
'[10:00:08.424]',-0.285,0.040
'[10:00:08.428]',-0.305,0.010
'[10:00:08.432]',-0.325,0.000
'[10:00:08.436]',-0.355,-0.025
'[10:00:08.440]',-0.350,-0.050
'[10:00:08.444]',-0.330,-0.045
'[10:00:08.448]',-0.340,-0.045
'[10:00:08.452]',-0.330,-0.055
'[10:00:08.456]',-0.385,-0.100
'[10:00:08.460]',-0.400,-0.090
'[10:00:08.464]',-0.420,-0.090
'[10:00:08.468]',-0.445,-0.095
'[10:00:08.472]',-0.470,-0.090
'[10:00:08.476]',-0.475,-0.080
'[10:00:08.480]',-0.460,-0.055
'[10:00:08.484]',-0.455,-0.065
'[10:00:08.488]',-0.470,-0.060
'[10:00:08.492]',-0.500,-0.080
'[10:00:08.496]',-0.530,-0.080
'[10:00:08.500]',-0.510,-0.090
'[10:00:08.504]',-0.510,-0.095
'[10:00:08.508]',-0.530,-0.080
'[10:00:08.512]',-0.535,-0.080
'[10:00:08.516]',-0.520,-0.070
'[10:00:08.520]',-0.525,-0.075
'[10:00:08.524]',-0.530,-0.085
'[10:00:08.528]',-0.510,-0.080
'[10:00:08.532]',-0.500,-0.090
'[10:00:08.536]',-0.510,-0.110
'[10:00:08.540]',-0.505,-0.075
'[10:00:08.544]',-0.505,-0.070
'[10:00:08.548]',-0.510,-0.080
'[10:00:08.552]',-0.505,-0.065
'[10:00:08.556]',-0.490,-0.080
'[10:00:08.560]',-0.450,-0.085
'[10:00:08.564]',-0.430,-0.095
'[10:00:08.568]',-0.395,-0.105
'[10:00:08.572]',-0.335,-0.115
'[10:00:08.576]',-0.225,-0.085
'[10:00:08.580]',-0.045,-0.105
'[10:00:08.584]',0.170,-0.115
'[10:00:08.588]',0.435,-0.140
'[10:00:08.592]',0.685,-0.135
'[10:00:08.596]',0.840,-0.100
'[10:00:08.600]',0.910,-0.090
'[10:00:08.604]',0.945,-0.205
'[10:00:08.608]',0.895,-0.615
'[10:00:08.612]',0.830,-1.255
'[10:00:08.616]',0.730,-1.895
'[10:00:08.620]',0.635,-2.535
'[10:00:08.624]',0.580,-2.940
'[10:00:08.628]',0.545,-3.140
'[10:00:08.632]',0.535,-3.220
'[10:00:08.636]',0.560,-3.250
'[10:00:08.640]',0.540,-3.275
'[10:00:08.644]',0.490,-3.240
'[10:00:08.648]',0.375,-3.095
'[10:00:08.652]',0.230,-2.865
'[10:00:08.656]',0.100,-2.535
'[10:00:08.660]',0.085,-2.220
'[10:00:08.664]',0.175,-2.005
'[10:00:08.668]',0.255,-1.870
'[10:00:08.672]',0.290,-1.735
'[10:00:08.676]',0.255,-1.585
'[10:00:08.680]',0.055,-1.410
'[10:00:08.684]',-0.185,-1.160
'[10:00:08.688]',-0.365,-0.955
'[10:00:08.692]',-0.460,-0.735
'[10:00:08.696]',-0.470,-0.570
'[10:00:08.700]',-0.435,-0.450
'[10:00:08.704]',-0.450,-0.350
'[10:00:08.708]',-0.515,-0.225
'[10:00:08.712]',-0.585,-0.100
'[10:00:08.716]',-0.585,0.030
'[10:00:08.720]',-0.575,0.155
'[10:00:08.724]',-0.590,0.205
'[10:00:08.728]',-0.600,0.225
'[10:00:08.732]',-0.610,0.235
'[10:00:08.736]',-0.605,0.260
'[10:00:08.740]',-0.595,0.250
'[10:00:08.744]',-0.600,0.255
'[10:00:08.748]',-0.575,0.275
'[10:00:08.752]',-0.565,0.255
'[10:00:08.756]',-0.570,0.265
'[10:00:08.760]',-0.580,0.270
'[10:00:08.764]',-0.590,0.280
'[10:00:08.768]',-0.565,0.295
'[10:00:08.772]',-0.570,0.300
'[10:00:08.776]',-0.560,0.315
'[10:00:08.780]',-0.575,0.310
'[10:00:08.784]',-0.600,0.310
'[10:00:08.788]',-0.615,0.340
'[10:00:08.792]',-0.625,0.340
'[10:00:08.796]',-0.625,0.355
'[10:00:08.800]',-0.635,0.365
'[10:00:08.804]',-0.640,0.375
'[10:00:08.808]',-0.620,0.375
'[10:00:08.812]',-0.630,0.405
'[10:00:08.816]',-0.640,0.410
'[10:00:08.820]',-0.615,0.420
'[10:00:08.824]',-0.635,0.475
'[10:00:08.828]',-0.640,0.490
'[10:00:08.832]',-0.670,0.470
'[10:00:08.836]',-0.680,0.495
'[10:00:08.840]',-0.670,0.520
'[10:00:08.844]',-0.685,0.540
'[10:00:08.848]',-0.685,0.575
'[10:00:08.852]',-0.665,0.570
'[10:00:08.856]',-0.675,0.605
'[10:00:08.860]',-0.685,0.625
'[10:00:08.864]',-0.680,0.635
'[10:00:08.868]',-0.670,0.640
'[10:00:08.872]',-0.655,0.690
'[10:00:08.876]',-0.675,0.715
'[10:00:08.880]',-0.685,0.740
'[10:00:08.884]',-0.715,0.765
'[10:00:08.888]',-0.730,0.800
'[10:00:08.892]',-0.700,0.820
'[10:00:08.896]',-0.710,0.825
'[10:00:08.900]',-0.730,0.845
'[10:00:08.904]',-0.715,0.870
'[10:00:08.908]',-0.710,0.870
'[10:00:08.912]',-0.700,0.895
'[10:00:08.916]',-0.690,0.930
'[10:00:08.920]',-0.680,0.920
'[10:00:08.924]',-0.660,0.960
'[10:00:08.928]',-0.650,0.935
'[10:00:08.932]',-0.635,0.940
'[10:00:08.936]',-0.635,0.955
'[10:00:08.940]',-0.635,0.950
'[10:00:08.944]',-0.640,0.930
'[10:00:08.948]',-0.635,0.935
'[10:00:08.952]',-0.600,0.915
'[10:00:08.956]',-0.605,0.915
'[10:00:08.960]',-0.600,0.900
'[10:00:08.964]',-0.570,0.860
'[10:00:08.968]',-0.550,0.830
'[10:00:08.972]',-0.530,0.800
'[10:00:08.976]',-0.515,0.775
'[10:00:08.980]',-0.495,0.740
'[10:00:08.984]',-0.460,0.665
'[10:00:08.988]',-0.460,0.645
'[10:00:08.992]',-0.465,0.590
'[10:00:08.996]',-0.485,0.530
'[10:00:09.000]',-0.465,0.485
'[10:00:09.004]',-0.445,0.420
'[10:00:09.008]',-0.435,0.385
'[10:00:09.012]',-0.430,0.310
'[10:00:09.016]',-0.455,0.295
'[10:00:09.020]',-0.460,0.260
'[10:00:09.024]',-0.445,0.200
'[10:00:09.028]',-0.460,0.165
'[10:00:09.032]',-0.455,0.140
'[10:00:09.036]',-0.450,0.105
'[10:00:09.040]',-0.450,0.065
'[10:00:09.044]',-0.450,0.055
'[10:00:09.048]',-0.445,0.040
'[10:00:09.052]',-0.465,0.030
'[10:00:09.056]',-0.490,0.035
'[10:00:09.060]',-0.475,0.020
'[10:00:09.064]',-0.460,0.010
'[10:00:09.068]',-0.450,-0.015
'[10:00:09.072]',-0.450,0.005
'[10:00:09.076]',-0.460,0.005
'[10:00:09.080]',-0.470,-0.005
'[10:00:09.084]',-0.470,0.000
'[10:00:09.088]',-0.510,-0.005
'[10:00:09.092]',-0.535,0.000
'[10:00:09.096]',-0.490,0.015
'[10:00:09.100]',-0.500,0.015
'[10:00:09.104]',-0.480,0.020
'[10:00:09.108]',-0.475,0.015
'[10:00:09.112]',-0.490,0.040
'[10:00:09.116]',-0.505,0.015
'[10:00:09.120]',-0.485,0.000
'[10:00:09.124]',-0.480,0.020
'[10:00:09.128]',-0.485,0.015
'[10:00:09.132]',-0.500,0.030
'[10:00:09.136]',-0.490,0.025
'[10:00:09.140]',-0.495,0.035
'[10:00:09.144]',-0.520,0.010
'[10:00:09.148]',-0.505,0.000
'[10:00:09.152]',-0.480,0.010
'[10:00:09.156]',-0.510,0.000
'[10:00:09.160]',-0.510,0.000
'[10:00:09.164]',-0.535,0.010
'[10:00:09.168]',-0.525,0.005
'[10:00:09.172]',-0.520,0.000
'[10:00:09.176]',-0.495,-0.015
'[10:00:09.180]',-0.480,0.000
'[10:00:09.184]',-0.460,0.000
'[10:00:09.188]',-0.475,0.000
'[10:00:09.192]',-0.490,-0.015
'[10:00:09.196]',-0.475,-0.035
'[10:00:09.200]',-0.455,-0.045
'[10:00:09.204]',-0.460,-0.020
'[10:00:09.208]',-0.460,-0.015
'[10:00:09.212]',-0.440,-0.035
'[10:00:09.216]',-0.400,-0.030
'[10:00:09.220]',-0.385,-0.030
'[10:00:09.224]',-0.350,-0.050
'[10:00:09.228]',-0.335,-0.060
'[10:00:09.232]',-0.325,-0.045
'[10:00:09.236]',-0.325,-0.020
'[10:00:09.240]',-0.320,-0.045
'[10:00:09.244]',-0.305,-0.010
'[10:00:09.248]',-0.265,0.000
'[10:00:09.252]',-0.225,0.000
'[10:00:09.256]',-0.230,0.015
'[10:00:09.260]',-0.210,0.000
'[10:00:09.264]',-0.205,0.035
'[10:00:09.268]',-0.230,0.055
'[10:00:09.272]',-0.260,0.060
'[10:00:09.276]',-0.275,0.050
'[10:00:09.280]',-0.270,0.015
'[10:00:09.284]',-0.285,0.020
'[10:00:09.288]',-0.265,-0.035
'[10:00:09.292]',-0.295,-0.060
'[10:00:09.296]',-0.320,-0.080
'[10:00:09.300]',-0.365,-0.080
'[10:00:09.304]',-0.370,-0.090
'[10:00:09.308]',-0.355,-0.095
'[10:00:09.312]',-0.370,-0.095
'[10:00:09.316]',-0.400,-0.120
'[10:00:09.320]',-0.380,-0.135
'[10:00:09.324]',-0.405,-0.115
'[10:00:09.328]',-0.435,-0.125
'[10:00:09.332]',-0.435,-0.120
'[10:00:09.336]',-0.475,-0.140
'[10:00:09.340]',-0.475,-0.135
'[10:00:09.344]',-0.460,-0.105
'[10:00:09.348]',-0.490,-0.110
'[10:00:09.352]',-0.515,-0.125
'[10:00:09.356]',-0.540,-0.125
'[10:00:09.360]',-0.530,-0.145
'[10:00:09.364]',-0.500,-0.130
'[10:00:09.368]',-0.500,-0.135
'[10:00:09.372]',-0.485,-0.135
'[10:00:09.376]',-0.495,-0.140
'[10:00:09.380]',-0.495,-0.120
'[10:00:09.384]',-0.495,-0.120
'[10:00:09.388]',-0.465,-0.120
'[10:00:09.392]',-0.465,-0.120
'[10:00:09.396]',-0.450,-0.115
'[10:00:09.400]',-0.455,-0.135
'[10:00:09.404]',-0.475,-0.125
'[10:00:09.408]',-0.500,-0.135
'[10:00:09.412]',-0.485,-0.125
'[10:00:09.416]',-0.480,-0.130
'[10:00:09.420]',-0.445,-0.115
'[10:00:09.424]',-0.385,-0.110
'[10:00:09.428]',-0.335,-0.125
'[10:00:09.432]',-0.265,-0.115
'[10:00:09.436]',-0.145,-0.130
'[10:00:09.440]',0.045,-0.120
'[10:00:09.444]',0.285,-0.145
'[10:00:09.448]',0.520,-0.140
'[10:00:09.452]',0.730,-0.160
'[10:00:09.456]',0.895,-0.155
'[10:00:09.460]',0.990,-0.155
'[10:00:09.464]',1.030,-0.250
'[10:00:09.468]',0.985,-0.625
'[10:00:09.472]',0.905,-1.240
'[10:00:09.476]',0.795,-1.880
'[10:00:09.480]',0.700,-2.485
'[10:00:09.484]',0.655,-2.825
'[10:00:09.488]',0.635,-3.050
'[10:00:09.492]',0.635,-3.160
'[10:00:09.496]',0.650,-3.180
'[10:00:09.500]',0.655,-3.190
'[10:00:09.504]',0.565,-3.170
'[10:00:09.508]',0.425,-2.995
'[10:00:09.512]',0.300,-2.745
'[10:00:09.516]',0.155,-2.415
'[10:00:09.520]',0.125,-2.150
'[10:00:09.524]',0.195,-1.910
'[10:00:09.528]',0.275,-1.775
'[10:00:09.532]',0.315,-1.640
'[10:00:09.536]',0.235,-1.485
'[10:00:09.540]',0.020,-1.330
'[10:00:09.544]',-0.165,-1.130
'[10:00:09.548]',-0.310,-0.915
'[10:00:09.552]',-0.365,-0.725
'[10:00:09.556]',-0.360,-0.580
'[10:00:09.560]',-0.365,-0.470
'[10:00:09.564]',-0.405,-0.360
'[10:00:09.568]',-0.465,-0.235
'[10:00:09.572]',-0.505,-0.115
'[10:00:09.576]',-0.485,0.005
'[10:00:09.580]',-0.495,0.100
'[10:00:09.584]',-0.470,0.150
'[10:00:09.588]',-0.465,0.170
'[10:00:09.592]',-0.495,0.165
'[10:00:09.596]',-0.510,0.150
'[10:00:09.600]',-0.510,0.155
'[10:00:09.604]',-0.485,0.200
'[10:00:09.608]',-0.465,0.205
'[10:00:09.612]',-0.465,0.200
'[10:00:09.616]',-0.450,0.230
'[10:00:09.620]',-0.445,0.220
'[10:00:09.624]',-0.450,0.210
'[10:00:09.628]',-0.450,0.225
'[10:00:09.632]',-0.480,0.215
'[10:00:09.636]',-0.490,0.235
'[10:00:09.640]',-0.480,0.245
'[10:00:09.644]',-0.490,0.260
'[10:00:09.648]',-0.505,0.265
'[10:00:09.652]',-0.485,0.275
'[10:00:09.656]',-0.475,0.280
'[10:00:09.660]',-0.490,0.285
'[10:00:09.664]',-0.490,0.295
'[10:00:09.668]',-0.525,0.310
'[10:00:09.672]',-0.545,0.325
'[10:00:09.676]',-0.545,0.340
'[10:00:09.680]',-0.540,0.350
'[10:00:09.684]',-0.520,0.350
'[10:00:09.688]',-0.520,0.375
'[10:00:09.692]',-0.530,0.395
'[10:00:09.696]',-0.555,0.400
'[10:00:09.700]',-0.550,0.420
'[10:00:09.704]',-0.570,0.445
'[10:00:09.708]',-0.570,0.455
'[10:00:09.712]',-0.575,0.470
'[10:00:09.716]',-0.600,0.495
'[10:00:09.720]',-0.565,0.520
'[10:00:09.724]',-0.555,0.520
'[10:00:09.728]',-0.580,0.550
'[10:00:09.732]',-0.595,0.580
'[10:00:09.736]',-0.600,0.595
'[10:00:09.740]',-0.630,0.615
'[10:00:09.744]',-0.645,0.635
'[10:00:09.748]',-0.660,0.650
'[10:00:09.752]',-0.650,0.680
'[10:00:09.756]',-0.640,0.715
'[10:00:09.760]',-0.635,0.715
'[10:00:09.764]',-0.625,0.745
'[10:00:09.768]',-0.615,0.770
'[10:00:09.772]',-0.640,0.775
'[10:00:09.776]',-0.635,0.800
'[10:00:09.780]',-0.635,0.805
'[10:00:09.784]',-0.615,0.815
'[10:00:09.788]',-0.620,0.810
'[10:00:09.792]',-0.600,0.830
'[10:00:09.796]',-0.595,0.830
'[10:00:09.800]',-0.600,0.825
'[10:00:09.804]',-0.570,0.825
'[10:00:09.808]',-0.565,0.850
'[10:00:09.812]',-0.565,0.820
'[10:00:09.816]',-0.580,0.815
'[10:00:09.820]',-0.555,0.805
'[10:00:09.824]',-0.520,0.775
'[10:00:09.828]',-0.510,0.755
'[10:00:09.832]',-0.470,0.710
'[10:00:09.836]',-0.445,0.675
'[10:00:09.840]',-0.440,0.630
'[10:00:09.844]',-0.450,0.575
'[10:00:09.848]',-0.435,0.545
'[10:00:09.852]',-0.425,0.520
'[10:00:09.856]',-0.400,0.455
'[10:00:09.860]',-0.410,0.410
'[10:00:09.864]',-0.390,0.360
'[10:00:09.868]',-0.360,0.315
'[10:00:09.872]',-0.360,0.260
'[10:00:09.876]',-0.380,0.210
'[10:00:09.880]',-0.380,0.160
'[10:00:09.884]',-0.375,0.145
'[10:00:09.888]',-0.370,0.100
'[10:00:09.892]',-0.380,0.060
'[10:00:09.896]',-0.385,0.045
'[10:00:09.900]',-0.395,0.000
'[10:00:09.904]',-0.390,-0.010
'[10:00:09.908]',-0.400,-0.020
'[10:00:09.912]',-0.375,-0.045
'[10:00:09.916]',-0.425,-0.060
'[10:00:09.920]',-0.425,-0.075
'[10:00:09.924]',-0.405,-0.080
'[10:00:09.928]',-0.405,-0.055
'[10:00:09.932]',-0.425,-0.080
'[10:00:09.936]',-0.420,-0.065
'[10:00:09.940]',-0.410,-0.085
'[10:00:09.944]',-0.415,-0.075
'[10:00:09.948]',-0.420,-0.090
'[10:00:09.952]',-0.420,-0.115
'[10:00:09.956]',-0.440,-0.070
'[10:00:09.960]',-0.480,-0.070
'[10:00:09.964]',-0.435,-0.060
'[10:00:09.968]',-0.430,-0.075
'[10:00:09.972]',-0.425,-0.060
'[10:00:09.976]',-0.410,-0.065
'[10:00:09.980]',-0.420,-0.065
'[10:00:09.984]',-0.470,-0.050
'[10:00:09.988]',-0.480,-0.075
'[10:00:09.992]',-0.470,-0.075
'[10:00:09.996]',-0.475,-0.055
